t,sigma_t=10;R_c=0,sigma_t=10;R_c=12,sigma_t=14;R_c=0,sigma_t=14;R_c=12,sigma_t=16;R_c=0,sigma_t=16;R_c=12,sigma_t=18;R_c=0,sigma_t=18;R_c=12,sigma_t=20;R_c=0,sigma_t=20;R_c=12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.354,0.38,0.10999999999999999,0.14200000000000002,0.04400000000000004,0.06999999999999995,0.008000000000000007,0.026000000000000023,0.008000000000000007,0.010000000000000009
5.0,0.5760000000000001,0.618,0.20999999999999996,0.29400000000000004,0.09999999999999998,0.122,0.02200000000000002,0.050000000000000044,0.01200000000000001,0.02200000000000002
7.5,0.768,0.792,0.31399999999999995,0.4,0.132,0.17800000000000005,0.03600000000000003,0.08199999999999996,0.016000000000000014,0.026000000000000023
10.0,0.848,0.866,0.4,0.48,0.16200000000000003,0.244,0.04400000000000004,0.09599999999999997,0.020000000000000018,0.03600000000000003
12.5,0.906,0.92,0.474,0.562,0.19999999999999996,0.29200000000000004,0.052000000000000046,0.12,0.026000000000000023,0.04600000000000004
15.0,0.94,0.952,0.534,0.616,0.238,0.32399999999999995,0.06599999999999995,0.14200000000000002,0.028000000000000025,0.04800000000000004
17.5,0.954,0.97,0.5860000000000001,0.6639999999999999,0.28200000000000003,0.364,0.07599999999999996,0.16800000000000004,0.030000000000000027,0.05400000000000005
20.0,0.976,0.984,0.628,0.702,0.32199999999999995,0.388,0.08999999999999997,0.17800000000000005,0.03400000000000003,0.06799999999999995
22.5,0.986,0.99,0.6659999999999999,0.756,0.348,0.42800000000000005,0.09999999999999998,0.19399999999999995,0.03600000000000003,0.07199999999999995
25.0,0.992,0.992,0.7,0.782,0.37,0.47,0.11199999999999999,0.21399999999999997,0.038000000000000034,0.07399999999999995
27.5,0.994,0.994,0.726,0.8220000000000001,0.386,0.494,0.11599999999999999,0.23199999999999998,0.038000000000000034,0.08199999999999996
30.0,0.996,0.998,0.778,0.85,0.41600000000000004,0.526,0.128,0.25,0.04200000000000004,0.08999999999999997
32.5,0.998,1.0,0.796,0.866,0.43600000000000005,0.552,0.14400000000000002,0.268,0.04400000000000004,0.10199999999999998
35.0,0.998,1.0,0.812,0.886,0.44599999999999995,0.5800000000000001,0.15200000000000002,0.29000000000000004,0.04600000000000004,0.10799999999999998
37.5,1.0,1.0,0.8280000000000001,0.902,0.45799999999999996,0.606,0.15800000000000003,0.30800000000000005,0.04600000000000004,0.11599999999999999
40.0,1.0,1.0,0.84,0.918,0.486,0.638,0.16200000000000003,0.32599999999999996,0.052000000000000046,0.128
42.5,1.0,1.0,0.86,0.9359999999999999,0.508,0.6599999999999999,0.17600000000000005,0.344,0.05600000000000005,0.134
45.0,1.0,1.0,0.872,0.946,0.528,0.6799999999999999,0.18999999999999995,0.358,0.06000000000000005,0.15400000000000003
47.5,1.0,1.0,0.886,0.95,0.55,0.696,0.20399999999999996,0.372,0.06000000000000005,0.15400000000000003
50.0,1.0,1.0,0.906,0.956,0.5660000000000001,0.71,0.21599999999999997,0.402,0.06399999999999995,0.16200000000000003
52.5,1.0,1.0,0.91,0.96,0.5840000000000001,0.738,0.22199999999999998,0.42400000000000004,0.06799999999999995,0.17800000000000005
55.0,1.0,1.0,0.916,0.966,0.602,0.754,0.22399999999999998,0.43999999999999995,0.06999999999999995,0.18600000000000005
57.5,1.0,1.0,0.926,0.972,0.612,0.764,0.23399999999999999,0.45399999999999996,0.07399999999999995,0.18999999999999995
60.0,1.0,1.0,0.928,0.972,0.62,0.776,0.238,0.46199999999999997,0.07999999999999996,0.19199999999999995
62.5,1.0,1.0,0.9359999999999999,0.978,0.632,0.788,0.26,0.476,0.07999999999999996,0.19599999999999995
65.0,1.0,1.0,0.944,0.986,0.638,0.8,0.27,0.496,0.08599999999999997,0.20599999999999996
67.5,1.0,1.0,0.948,0.986,0.6579999999999999,0.81,0.274,0.518,0.09399999999999997,0.20999999999999996
70.0,1.0,1.0,0.956,0.988,0.6699999999999999,0.8280000000000001,0.28200000000000003,0.528,0.09599999999999997,0.21999999999999997
72.5,1.0,1.0,0.96,0.99,0.692,0.85,0.28800000000000003,0.538,0.09799999999999998,0.238
75.0,1.0,1.0,0.962,0.992,0.71,0.856,0.30000000000000004,0.544,0.10199999999999998,0.258
77.5,1.0,1.0,0.97,0.992,0.716,0.868,0.31000000000000005,0.548,0.10599999999999998,0.258
80.0,1.0,1.0,0.972,0.992,0.73,0.876,0.32399999999999995,0.558,0.10999999999999999,0.266
82.5,1.0,1.0,0.972,0.992,0.74,0.884,0.33399999999999996,0.5700000000000001,0.11199999999999999,0.27
85.0,1.0,1.0,0.974,0.992,0.754,0.894,0.33999999999999997,0.5780000000000001,0.11399999999999999,0.276
87.50000000000001,1.0,1.0,0.976,0.992,0.762,0.896,0.344,0.5880000000000001,0.12,0.28200000000000003
90.0,1.0,1.0,0.98,0.994,0.772,0.9,0.352,0.604,0.122,0.28600000000000003
92.5,1.0,1.0,0.982,0.996,0.782,0.902,0.356,0.612,0.122,0.29200000000000004
95.0,1.0,1.0,0.984,0.996,0.79,0.91,0.362,0.622,0.122,0.30400000000000005
97.5,1.0,1.0,0.984,0.996,0.806,0.914,0.376,0.63,0.122,0.31000000000000005
100.0,1.0,1.0,0.984,0.996,0.81,0.918,0.384,0.646,0.128,0.31599999999999995
