Tracer diameter (nm),Constraint radius (nm),Half-life (s)
10.0,0.0,0.003529864801499283
10.0,2.0,0.003429021151797851
10.0,4.0,0.003978294199605424
10.0,6.0,0.003710895523720345
10.0,8.0,0.0031853021180814726
10.0,10.0,0.0038585639619238598
10.0,12.0,0.003316642036770622
11.0,0.0,0.004593956652449061
11.0,2.0,0.004503808038930261
11.0,4.0,0.0051758917682275165
11.0,6.0,0.004227994710272107
11.0,8.0,0.00496511937138241
11.0,10.0,0.004646532165221649
11.0,12.0,0.005444895135405652
12.0,0.0,0.00638338660659002
12.0,2.0,0.006164656290579275
12.0,4.0,0.0075173286199829974
12.0,6.0,0.006126784963915837
12.0,8.0,0.0066738433090886935
12.0,10.0,0.005734487657930722
12.0,12.0,0.0068795485013952605
13.0,0.0,0.009257584438400416
13.0,2.0,0.010129109644216601
13.0,4.0,0.009601358017886665
13.0,6.0,0.008517487641847938
13.0,8.0,0.009174087685068182
13.0,10.0,0.009208067177543808
13.0,12.0,0.009056580766154891
14.0,0.0,0.015479462712440063
14.0,2.0,0.01539093023335044
14.0,4.0,0.013050604104231308
14.0,6.0,0.015505415483491256
14.0,8.0,0.01382501263796511
14.0,10.0,0.014433398651702662
14.0,12.0,0.015152759117631759
15.0,0.0,0.02315182276589866
15.0,2.0,0.023822514533960035
15.0,4.0,0.021626085589441825
15.0,6.0,0.022905665793192295
15.0,8.0,0.02116166499113102
15.0,10.0,0.020936028502549577
15.0,12.0,0.022384365666304622
16.0,0.0,0.04023400386337202
16.0,2.0,0.03683644019040602
16.0,4.0,0.03269141693116869
16.0,6.0,0.036791078852196464
16.0,8.0,0.03925503181284577
16.0,10.0,0.03500241869257006
16.0,12.0,0.037326140874534085
17.0,0.0,0.07404986134400408
17.0,2.0,0.0702974477238041
17.0,4.0,0.0625752389607408
17.0,6.0,0.05699888400776113
17.0,8.0,0.05396549208932853
17.0,10.0,0.0655489926692451
17.0,12.0,0.060827411485430694
18.0,0.0,0.17292719863881878
18.0,2.0,0.13795935530673362
18.0,4.0,0.08821365967264974
18.0,6.0,0.09646014486097133
18.0,8.0,0.10808494844915251
18.0,10.0,0.10443226843709524
18.0,12.0,0.0893570185186623
19.0,0.0,0.4239550146849217
19.0,2.0,0.2587668352236082
19.0,4.0,0.21945326611175778
19.0,6.0,0.19970380898730336
19.0,8.0,0.1827042062138985
19.0,10.0,0.20246221994472113
19.0,12.0,0.18534581092666222
20.0,0.0,0.5573671951100174
20.0,2.0,0.6023619137431248
20.0,4.0,0.4006912813202821
20.0,6.0,0.38006399699944987
20.0,8.0,0.41705751457778417
20.0,10.0,0.32083252841192755
20.0,12.0,0.3853532655157176
